customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST10091,Male,1,Yes,No,48,No,Yes,Fiber optic,Yes,No,No,No internet service,No internet service,Yes,Two year,No,Bank transfer (automatic),89.89,967.16,No
CUST10092,Female,1,No,Yes,20,No,Yes,Fiber optic,No,Yes,No,No internet service,No internet service,No,One year,Yes,Credit card (automatic),89.05,5883.64,No
CUST10093,Male,1,No,No,15,Yes,No phone service,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),79.67,495.65,No
CUST10094,Female,1,Yes,No,24,No,No phone service,DSL,Yes,No internet service,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,44.17,5932.39,Yes
CUST10095,Male,1,No,No,38,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,26.66,8757.45,No
CUST10096,Male,0,Yes,Yes,35,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),42.23,8005.05,No
CUST10097,Male,0,Yes,Yes,33,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No internet service,No,Two year,Yes,Bank transfer (automatic),83.91,2949.4,Yes
CUST10098,Female,1,No,Yes,71,No,Yes,No,No,No,Yes,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,49.62,1948.39,No
CUST10099,Female,1,Yes,No,13,No,No,DSL,Yes,No internet service,No,No internet service,No internet service,No,Month-to-month,No,Bank transfer (automatic),104.17,8643.78,No
CUST10100,Female,1,Yes,No,56,Yes,No,No,No,No internet service,Yes,No internet service,No internet service,No,Two year,Yes,Bank transfer (automatic),81.62,4005.4,Yes
CUST10101,Female,1,No,Yes,48,No,Yes,No,No internet service,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),25.0,3184.57,No
CUST10102,Male,0,No,Yes,59,Yes,No phone service,DSL,No,No internet service,No,No,No internet service,Yes,Two year,No,Bank transfer (automatic),28.82,1151.98,Yes
CUST10103,Female,1,Yes,Yes,32,Yes,No phone service,No,No internet service,No internet service,Yes,No,Yes,No,One year,Yes,Mailed check,48.06,1515.74,Yes
CUST10104,Male,0,Yes,Yes,33,Yes,No,No,Yes,No internet service,No,No,No,No,One year,No,Mailed check,77.36,6680.69,No
CUST10105,Female,1,Yes,No,31,No,No,No,No internet service,No,No,No,No,No,Month-to-month,No,Credit card (automatic),113.69,1828.6,No
CUST10106,Female,0,No,No,54,No,No,No,No internet service,No,No internet service,No internet service,Yes,No,Two year,No,Bank transfer (automatic),30.32,1627.56,No
CUST10107,Male,1,No,Yes,28,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,No,No internet service,Month-to-month,No,Mailed check,103.07,2913.66,No
CUST10108,Male,1,Yes,No,26,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,77.28,8221.74,No
CUST10109,Female,1,No,No,70,No,No phone service,DSL,No,Yes,Yes,No internet service,No,No internet service,One year,Yes,Credit card (automatic),56.39,5312.51,No
CUST10110,Female,1,No,Yes,70,Yes,No phone service,No,No,No,Yes,No internet service,No,No internet service,Two year,No,Mailed check,84.3,6979.79,No
CUST10111,Male,0,No,No,13,Yes,No,Fiber optic,No internet service,No,No,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),98.5,6475.72,No
CUST10112,Male,1,Yes,No,1,Yes,Yes,DSL,Yes,No,No,No internet service,No,No internet service,One year,Yes,Bank transfer (automatic),55.87,8549.97,Yes
CUST10113,Male,0,No,No,6,No,Yes,No,No,No,No internet service,No,No internet service,No internet service,One year,No,Credit card (automatic),111.97,6219.82,No
CUST10114,Male,0,No,Yes,32,Yes,No phone service,No,No internet service,No,No,No,No internet service,Yes,Month-to-month,No,Mailed check,75.09,1144.54,No
CUST10115,Male,1,Yes,No,21,Yes,No phone service,Fiber optic,No internet service,No internet service,No,No,Yes,No,Two year,No,Credit card (automatic),35.69,1834.78,No
CUST10116,Female,0,No,Yes,13,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,74.68,6331.54,No
CUST10117,Male,1,Yes,No,53,No,Yes,No,Yes,No,Yes,Yes,No internet service,No internet service,Two year,Yes,Credit card (automatic),96.55,1950.83,No
CUST10118,Male,1,No,No,0,No,No,Fiber optic,No internet service,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),78.66,7443.53,Yes
CUST10119,Male,1,Yes,Yes,71,No,Yes,Fiber optic,Yes,No,No internet service,No internet service,No,No internet service,One year,Yes,Electronic check,78.41,7919.41,Yes
CUST10120,Male,0,Yes,No,40,Yes,No phone service,DSL,No internet service,Yes,No internet service,No,Yes,No,Two year,No,Bank transfer (automatic),22.77,3741.25,No
CUST10121,Male,0,Yes,No,7,Yes,No,Fiber optic,No internet service,No,No internet service,Yes,No internet service,No,Month-to-month,No,Electronic check,66.33,3453.33,Yes
CUST10122,Female,0,No,Yes,28,Yes,No phone service,DSL,Yes,No,No internet service,No,No internet service,Yes,Two year,No,Bank transfer (automatic),56.56,1104.59,Yes
CUST10123,Female,1,No,No,44,Yes,No,DSL,No,Yes,Yes,Yes,No internet service,No,Two year,No,Bank transfer (automatic),24.38,8441.61,No
CUST10124,Female,0,No,Yes,7,No,No,DSL,Yes,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,88.12,4394.16,Yes
CUST10125,Male,0,No,No,5,No,No phone service,DSL,Yes,No,No internet service,No internet service,No,No internet service,Two year,Yes,Bank transfer (automatic),38.31,6378.36,No
CUST10126,Female,1,No,No,50,Yes,No phone service,No,No internet service,No internet service,No internet service,No,No,Yes,One year,No,Mailed check,54.99,1435.98,No
CUST10127,Female,0,Yes,Yes,22,Yes,No,No,No,No internet service,No,No,Yes,No internet service,Month-to-month,No,Mailed check,77.76,4865.16,No
CUST10128,Female,0,No,No,59,No,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),64.03,6999.0,No
CUST10129,Female,1,No,Yes,40,No,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,90.18,5389.2,No
CUST10130,Female,0,Yes,Yes,13,Yes,No phone service,DSL,No,Yes,No internet service,No,No internet service,No,Two year,No,Credit card (automatic),104.48,3431.12,No
CUST10131,Male,1,Yes,No,26,No,No phone service,No,No,No,No internet service,No,Yes,Yes,One year,No,Mailed check,36.92,5542.05,No
CUST10132,Male,0,Yes,No,66,No,No,Fiber optic,Yes,No internet service,No,No,Yes,No internet service,Two year,Yes,Mailed check,47.86,8960.12,No
CUST10133,Male,1,No,Yes,11,Yes,No phone service,DSL,No internet service,No internet service,No,No,No,No internet service,Month-to-month,Yes,Mailed check,38.58,6150.39,No
CUST10134,Male,1,No,Yes,66,Yes,No,Fiber optic,No,No internet service,No,No,No internet service,No,One year,Yes,Mailed check,69.92,4538.03,No
CUST10135,Male,1,No,Yes,39,No,No,No,No internet service,No,No internet service,No internet service,Yes,No internet service,One year,Yes,Bank transfer (automatic),27.93,7701.29,Yes
CUST10136,Male,0,Yes,No,64,Yes,No phone service,DSL,No internet service,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),94.13,4248.27,No
CUST10137,Male,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No internet service,Yes,One year,Yes,Credit card (automatic),32.79,4080.52,No
CUST10138,Male,0,No,No,17,No,No phone service,No,Yes,No internet service,No,No,Yes,No,One year,Yes,Bank transfer (automatic),114.68,5026.23,No
CUST10139,Female,0,Yes,Yes,9,No,No,No,Yes,No internet service,No internet service,No,No,No,One year,Yes,Mailed check,104.04,2896.81,No
CUST10140,Female,0,Yes,No,58,Yes,Yes,No,Yes,No internet service,No,No,Yes,No internet service,Two year,No,Electronic check,116.93,661.72,No
CUST10141,Male,0,Yes,Yes,11,Yes,No,No,No internet service,No,No internet service,No,No,Yes,Two year,No,Electronic check,24.06,3406.02,No
CUST10142,Male,0,No,Yes,16,Yes,No phone service,DSL,No internet service,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,40.52,6578.73,No
CUST10143,Male,0,No,No,21,No,Yes,No,Yes,No,Yes,Yes,No internet service,Yes,Two year,No,Credit card (automatic),116.1,4398.31,Yes
CUST10144,Male,0,Yes,Yes,13,Yes,No phone service,DSL,No internet service,Yes,No,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),118.46,7694.86,No
CUST10145,Female,0,No,No,40,Yes,Yes,No,Yes,No internet service,Yes,Yes,No internet service,No internet service,One year,Yes,Electronic check,48.07,1655.96,Yes
CUST10146,Female,0,Yes,No,7,Yes,No,No,No internet service,Yes,No internet service,No internet service,Yes,Yes,Month-to-month,No,Mailed check,79.88,2014.1,No
CUST10147,Female,0,No,No,16,No,Yes,No,No internet service,No internet service,No,Yes,No internet service,No,One year,No,Credit card (automatic),40.75,5805.91,Yes
CUST10148,Male,1,No,Yes,5,Yes,No phone service,No,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,109.48,7369.81,No
CUST10149,Female,0,Yes,No,70,Yes,No,Fiber optic,Yes,No,No,No,Yes,No internet service,One year,No,Credit card (automatic),33.69,6265.67,Yes
CUST10150,Male,1,No,No,49,Yes,Yes,No,No internet service,No internet service,No,No,No,No,Month-to-month,No,Bank transfer (automatic),88.82,4007.2,No
CUST10151,Female,1,No,Yes,42,Yes,Yes,DSL,No internet service,No internet service,No internet service,No internet service,No,No,Two year,Yes,Electronic check,49.01,7951.58,No
CUST10152,Male,0,No,Yes,8,No,No,No,Yes,No internet service,No internet service,No,No internet service,No internet service,One year,No,Electronic check,57.38,6085.91,No
CUST10153,Male,0,No,Yes,41,No,No phone service,Fiber optic,No internet service,No,No,No,No,No,One year,No,Mailed check,74.79,7516.69,No
CUST10154,Female,0,Yes,Yes,44,No,No,DSL,No,No,No,No internet service,No,No,One year,No,Credit card (automatic),62.75,8136.64,Yes
CUST10155,Male,1,Yes,Yes,38,Yes,No,DSL,No,No internet service,No,No internet service,No internet service,No,Two year,No,Electronic check,72.34,4778.82,Yes
CUST10156,Male,0,Yes,No,65,No,No phone service,Fiber optic,No,Yes,No,No internet service,No,Yes,Month-to-month,No,Mailed check,87.96,5303.31,No
CUST10157,Male,0,Yes,Yes,63,No,Yes,No,Yes,No,Yes,No internet service,Yes,Yes,One year,No,Bank transfer (automatic),49.62,6008.66,No
CUST10158,Male,1,Yes,No,60,Yes,Yes,No,Yes,Yes,No internet service,Yes,No,No,Month-to-month,No,Electronic check,93.88,8751.24,No
CUST10159,Female,1,No,No,37,No,No,DSL,No,Yes,No internet service,Yes,No,No,One year,Yes,Bank transfer (automatic),61.72,7257.8,No
CUST10160,Male,0,Yes,Yes,65,Yes,No phone service,DSL,No internet service,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),22.18,333.67,No
CUST10161,Male,0,Yes,Yes,10,Yes,Yes,DSL,No internet service,No,Yes,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),104.66,3874.22,No
CUST10162,Female,0,Yes,Yes,2,Yes,Yes,DSL,Yes,No,No,No internet service,No,Yes,Two year,Yes,Mailed check,48.16,7820.91,No
CUST10163,Female,1,Yes,No,8,No,No,Fiber optic,Yes,No,No internet service,No internet service,No,No,Two year,Yes,Electronic check,106.02,346.64,No
CUST10164,Male,0,Yes,No,42,No,No,DSL,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),94.46,5679.45,No
CUST10165,Male,1,No,No,62,No,Yes,DSL,No,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),60.67,8506.15,No
CUST10166,Female,0,Yes,Yes,9,No,No phone service,DSL,No,No internet service,No,No,No internet service,No,Month-to-month,Yes,Electronic check,85.03,2820.79,No
CUST10167,Female,1,No,No,31,Yes,No phone service,No,No,No internet service,No internet service,Yes,No internet service,Yes,Two year,Yes,Bank transfer (automatic),119.2,6504.98,No
CUST10168,Female,0,No,No,67,No,No,Fiber optic,Yes,Yes,Yes,No,No,No internet service,Two year,No,Mailed check,50.75,2817.49,No
CUST10169,Female,0,No,Yes,6,Yes,No phone service,No,No,No,Yes,No internet service,No,No,One year,No,Credit card (automatic),65.04,5767.61,No
CUST10170,Female,0,Yes,No,44,Yes,No phone service,No,No internet service,Yes,No internet service,Yes,No,No,Two year,Yes,Credit card (automatic),34.85,8429.58,No
CUST10171,Male,1,No,Yes,45,Yes,No,Fiber optic,No,No internet service,Yes,No internet service,No internet service,Yes,Month-to-month,No,Bank transfer (automatic),107.14,3333.19,No
CUST10172,Male,1,Yes,Yes,59,No,Yes,No,Yes,No internet service,Yes,Yes,No,Yes,Two year,No,Electronic check,75.29,8642.2,No
CUST10173,Male,0,Yes,No,28,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,No,Electronic check,30.19,3452.1,No
